natmass,age,sex,sei,region,polviews
About Right,72,Male,29.6,E. Nor. Central,Moderate
Too Little,21,Female,32.400002,New England,Moderate
About Right,29,Female,46.700001,South Atlantic,Slightly Conservative
Too Much,67,Female,73.199997,W. Nor. Central,Conservative
About Right,57,Male,61.900002,South Atlantic,Moderate
Too Little,54,Male,63.5,E. Sou. Central,Liberal
About Right,63,Male,31.5,New England,Moderate
Too Much,55,Male,31.4,Pacific,Slightly Conservative
About Right,65,Female,74.400002,South Atlantic,Moderate
Too Little,32,Male,32.299999,Pacific,Moderate
Too Little,38,Female,64.199997,Middle Atlantic,Moderate
About Right,55,Female,68.099998,W. Sou. Central,Liberal
About Right,69,Male,32.299999,Middle Atlantic,Slightly Conservative
Too Little,75,Female,22.5,E. Sou. Central,Slightly Liberal
About Right,24,Male,34.200001,W. Sou. Central,Conservative
About Right,30,Female,53.299999,South Atlantic,Slightly Liberal
Too Much,39,Female,63.5,Pacific,Slightly Conservative
Too Little,27,Female,73.199997,Pacific,Conservative
About Right,75,Male,34.200001,W. Nor. Central,Slightly Conservative
About Right,40,Male,42.200001,W. Sou. Central,Slightly Conservative
Too Much,24,Male,29.4,Middle Atlantic,Slightly Conservative
About Right,38,Male,69.699997,Middle Atlantic,Slightly Conservative
About Right,47,Female,50.700001,South Atlantic,Conservative
Too Little,42,Female,54.700001,South Atlantic,Moderate
Too Little,23,Male,31.4,Pacific,Liberal
About Right,23,Male,27.5,New England,Slightly Liberal
About Right,63,Female,38,E. Nor. Central,Slightly Conservative
About Right,47,Female,36.099998,Middle Atlantic,Moderate
About Right,68,Male,85.099998,E. Sou. Central,Moderate
About Right,63,Female,81,E. Sou. Central,Slightly Liberal
About Right,48,Female,33.299999,Middle Atlantic,Moderate
Too Little,44,Male,38.900002,South Atlantic,Liberal
Too Little,33,Female,63.200001,New England,Conservative
Too Little,31,Female,60.599998,South Atlantic,Moderate
Too Little,81,Female,62,Pacific,Slightly Conservative
Too Little,81,Female,50.5,Middle Atlantic,Moderate
Too Little,64,Female,48.5,New England,Slightly Liberal
Too Little,31,Male,43.400002,South Atlantic,Slightly Liberal
Too Little,31,Female,26.4,Pacific,Liberal
About Right,70,Female,27.700001,E. Sou. Central,Moderate
Too Little,28,Female,36.5,Pacific,Slightly Conservative
About Right,51,Male,34.200001,South Atlantic,Conservative
About Right,34,Female,26.5,W. Sou. Central,Moderate
Too Little,55,Female,73.199997,South Atlantic,Conservative
Too Little,36,Male,76.300003,Mountain,Conservative
Too Little,57,Female,64.800003,E. Nor. Central,Liberal
Too Little,75,Male,46.799999,South Atlantic,Liberal
Too Much,45,Male,33.599998,W. Sou. Central,Conservative
Too Little,57,Female,26.4,Mountain,Moderate
About Right,51,Female,30.799999,Middle Atlantic,Slightly Conservative
Too Little,48,Male,63.200001,South Atlantic,Moderate
About Right,31,Female,33.099998,E. Nor. Central,Moderate
About Right,69,Female,33.099998,New England,Liberal
Too Little,89,Female,17.1,South Atlantic,Liberal
Too Much,44,Male,28.6,South Atlantic,Slightly Conservative
Too Little,47,Male,84.699997,South Atlantic,Moderate
Too Little,44,Female,50.5,E. Nor. Central,Conservative
About Right,49,Female,38,W. Sou. Central,Slightly Liberal
Too Little,34,Female,73.300003,E. Nor. Central,Slightly Conservative
About Right,29,Female,51.900002,Pacific,Moderate
Too Much,33,Female,63.5,W. Nor. Central,Moderate
Too Much,51,Male,28.6,E. Sou. Central,Moderate
About Right,80,Female,26.4,E. Nor. Central,Moderate
Too Little,69,Female,63.5,W. Nor. Central,Extremely Liberal
About Right,31,Female,38.900002,W. Nor. Central,Liberal
About Right,45,Female,74.400002,W. Nor. Central,Liberal
Too Little,22,Male,34.299999,Pacific,Conservative
Too Little,31,Male,63.5,Middle Atlantic,Slightly Conservative
About Right,65,Female,28.4,E. Sou. Central,Conservative
About Right,39,Male,63.5,W. Nor. Central,Slightly Liberal
Too Little,67,Female,33.099998,South Atlantic,Slightly Conservative
About Right,57,Female,32.400002,E. Sou. Central,Slightly Conservative
About Right,19,Female,30.700001,E. Sou. Central,Moderate
Too Much,78,Female,38.900002,E. Nor. Central,Moderate
About Right,33,Female,83.699997,Pacific,Slightly Conservative
Too Little,33,Male,50.700001,South Atlantic,Slightly Liberal
Too Little,42,Male,65.800003,Mountain,Moderate
Too Little,50,Male,85.099998,Middle Atlantic,Liberal
About Right,50,Female,38.400002,E. Sou. Central,Moderate
Too Little,65,Female,85.699997,South Atlantic,Moderate
About Right,26,Male,40,Middle Atlantic,Slightly Liberal
About Right,44,Female,30.700001,South Atlantic,Liberal
Too Little,43,Male,86.599998,New England,Slightly Conservative
About Right,22,Female,35.400002,Middle Atlantic,Liberal
About Right,52,Male,63.5,W. Sou. Central,Moderate
Too Little,49,Female,78.5,W. Sou. Central,Moderate
About Right,34,Female,63.5,Middle Atlantic,Slightly Liberal
Too Little,20,Male,28.6,New England,Moderate
Too Little,68,Male,63.5,South Atlantic,Conservative
About Right,23,Male,38.400002,Mountain,Moderate
Too Little,23,Female,36.700001,Pacific,Liberal
About Right,29,Female,37.700001,Middle Atlantic,Conservative
About Right,31,Male,34.299999,South Atlantic,Moderate
Too Much,89,Female,36.700001,Middle Atlantic,Moderate
About Right,39,Female,38.400002,W. Sou. Central,Conservative
About Right,30,Male,32,E. Nor. Central,Conservative
Too Little,40,Female,80.300003,E. Nor. Central,Slightly Conservative
Too Little,44,Female,81.900002,Middle Atlantic,Conservative
About Right,34,Female,50.700001,Middle Atlantic,Moderate
About Right,38,Male,83.699997,South Atlantic,Liberal
About Right,37,Male,64.400002,Mountain,Liberal
About Right,31,Female,35.400002,Middle Atlantic,Moderate
About Right,26,Female,33.099998,Middle Atlantic,Moderate
Too Much,27,Female,29.200001,Middle Atlantic,Liberal
Too Much,43,Male,37.299999,W. Sou. Central,Slightly Conservative
About Right,56,Male,63.5,Middle Atlantic,Moderate
About Right,56,Female,30.700001,Mountain,Extremely Liberal
Too Little,47,Male,92.300003,Pacific,Liberal
About Right,32,Female,33.900002,Pacific,Moderate
About Right,42,Female,82.699997,Middle Atlantic,Liberal
About Right,28,Female,31.4,W. Sou. Central,Moderate
Too Little,50,Female,69.199997,Middle Atlantic,Slightly Liberal
About Right,49,Male,37,South Atlantic,Conservative
Too Little,63,Male,28.6,South Atlantic,Moderate
Too Little,40,Female,33.099998,W. Nor. Central,Conservative
About Right,36,Male,69.199997,New England,Conservative
About Right,76,Male,34.299999,W. Sou. Central,Slightly Liberal
About Right,25,Female,38.400002,New England,Liberal
Too Little,33,Male,32.299999,Pacific,Liberal
About Right,53,Female,38.5,South Atlantic,Moderate
Too Little,23,Male,34.700001,Mountain,Moderate
Too Little,72,Female,58.299999,South Atlantic,Conservative
Too Little,47,Male,78.5,E. Nor. Central,Slightly Liberal
About Right,51,Male,28.6,South Atlantic,Moderate
About Right,35,Male,82.699997,E. Nor. Central,Moderate
Too Little,72,Female,71.599998,Middle Atlantic,Slightly Conservative
About Right,43,Female,22.700001,E. Nor. Central,Moderate
Too Little,40,Male,29.200001,Mountain,Slightly Conservative
Too Little,53,Female,39.400002,Middle Atlantic,Slightly Liberal
Too Little,49,Female,29.799999,W. Sou. Central,Moderate
About Right,61,Male,48.5,W. Sou. Central,Slightly Conservative
About Right,28,Male,60.599998,E. Nor. Central,Moderate
About Right,40,Female,85.099998,Mountain,Moderate
Too Little,71,Female,28.4,Mountain,Moderate
Too Little,41,Male,83.699997,South Atlantic,Conservative
Too Little,59,Female,38.400002,Pacific,Moderate
Too Little,32,Male,76.400002,Pacific,Slightly Conservative
About Right,26,Male,39.5,W. Sou. Central,Moderate
Too Little,72,Female,72.5,South Atlantic,Moderate
About Right,39,Female,74.400002,Middle Atlantic,Slightly Liberal
Too Little,46,Male,39.5,E. Nor. Central,Moderate
About Right,29,Male,31.299999,Middle Atlantic,Moderate
Too Little,43,Male,73.300003,Mountain,Liberal
About Right,25,Female,64,W. Sou. Central,Slightly Liberal
About Right,44,Female,64.099998,W. Sou. Central,Slightly Conservative
About Right,53,Female,33.599998,South Atlantic,Moderate
Too Little,63,Female,50.700001,Middle Atlantic,Liberal
About Right,27,Female,50.700001,E. Nor. Central,Slightly Conservative
About Right,72,Female,50.5,Mountain,Moderate
About Right,25,Female,73.199997,E. Nor. Central,Moderate
Too Little,61,Male,92.300003,Middle Atlantic,Moderate
Too Little,57,Male,27.700001,Middle Atlantic,Slightly Conservative
Too Little,25,Female,48.900002,Middle Atlantic,Moderate
About Right,35,Female,40.200001,New England,Moderate
About Right,41,Male,80,South Atlantic,Conservative
Too Little,57,Female,64.800003,New England,Slightly Conservative
Too Little,43,Female,63.200001,W. Sou. Central,Slightly Conservative
About Right,40,Male,73.300003,E. Sou. Central,Slightly Conservative
Too Little,35,Male,93.099998,Pacific,Liberal
About Right,30,Male,86.5,Middle Atlantic,Slightly Liberal
Too Much,37,Female,63.5,Pacific,Moderate
Too Little,49,Male,45.799999,South Atlantic,Slightly Conservative
About Right,49,Female,50.700001,South Atlantic,Slightly Conservative
Too Little,31,Female,73.599998,South Atlantic,Slightly Conservative
About Right,38,Female,68.099998,South Atlantic,Moderate
Too Little,53,Female,74.900002,South Atlantic,Conservative
Too Little,49,Male,38.099998,Mountain,Moderate
About Right,25,Female,78.5,South Atlantic,Liberal
About Right,53,Female,73.199997,South Atlantic,Slightly Conservative
Too Little,33,Male,64.099998,Middle Atlantic,Conservative
About Right,27,Male,63.5,W. Nor. Central,Slightly Conservative
Too Little,83,Female,50.700001,Middle Atlantic,Moderate
About Right,52,Female,38.400002,W. Nor. Central,Moderate
About Right,29,Female,56.599998,Pacific,Moderate
Too Little,37,Female,38.400002,Pacific,Slightly Conservative
About Right,32,Male,60.5,Pacific,Conservative
Too Little,25,Male,62,South Atlantic,Moderate
About Right,27,Female,33.099998,W. Sou. Central,Moderate
About Right,21,Female,32.400002,W. Nor. Central,Moderate
Too Little,45,Female,63.5,E. Nor. Central,Slightly Conservative
About Right,27,Male,46.299999,W. Sou. Central,Slightly Conservative
About Right,51,Female,53.700001,E. Sou. Central,Conservative
About Right,52,Female,54.700001,Mountain,Moderate
About Right,74,Female,88.800003,E. Nor. Central,Moderate
About Right,65,Female,32.299999,South Atlantic,Moderate
Too Little,64,Male,32.700001,Pacific,Extremely Conservative
Too Little,35,Female,33.099998,E. Nor. Central,Moderate
About Right,58,Male,31.5,E. Nor. Central,Extremely Liberal
About Right,44,Male,63.5,New England,Extremely Conservative
About Right,29,Female,76.400002,W. Nor. Central,Slightly Liberal
Too Little,46,Male,63.5,E. Nor. Central,Moderate
About Right,32,Male,38.099998,Mountain,Moderate
Too Little,50,Female,63.5,South Atlantic,Conservative
About Right,68,Female,38,Middle Atlantic,Moderate
Too Little,39,Female,63.5,South Atlantic,Moderate
Too Little,30,Female,73.199997,Middle Atlantic,Liberal
About Right,48,Male,69.699997,E. Nor. Central,Slightly Conservative
Too Little,82,Female,38.900002,South Atlantic,Moderate
About Right,37,Male,26.700001,Middle Atlantic,Moderate
Too Much,49,Male,45.900002,E. Nor. Central,Moderate
Too Much,76,Male,37.299999,W. Nor. Central,Moderate
Too Little,57,Female,22.5,Pacific,Extremely Liberal
About Right,21,Male,58.299999,Pacific,Conservative
About Right,45,Female,38.400002,W. Nor. Central,Moderate
About Right,40,Female,29.299999,E. Sou. Central,Slightly Conservative
Too Little,54,Male,31.4,E. Sou. Central,Moderate
About Right,36,Male,73.199997,W. Nor. Central,Liberal
Too Little,44,Male,50.700001,Middle Atlantic,Slightly Liberal
Too Little,25,Male,37.299999,Pacific,Moderate
Too Little,36,Female,48.5,W. Nor. Central,Moderate
About Right,52,Female,35.200001,Middle Atlantic,Slightly Conservative
About Right,43,Female,38,New England,Conservative
Too Little,39,Male,28.6,Middle Atlantic,Extremely Liberal
Too Little,61,Male,87.900002,W. Nor. Central,Moderate
Too Much,56,Female,38.900002,Mountain,Moderate
Too Little,34,Male,31.4,South Atlantic,Slightly Conservative
About Right,57,Female,50.5,South Atlantic,Moderate
Too Little,48,Male,63.5,Mountain,Moderate
About Right,36,Female,63.5,E. Sou. Central,Conservative
Too Little,44,Female,52.299999,E. Sou. Central,Moderate
Too Little,26,Female,42.299999,South Atlantic,Conservative
About Right,42,Male,45.200001,W. Nor. Central,Slightly Conservative
About Right,76,Male,36.5,Middle Atlantic,Moderate
Too Little,27,Male,37.700001,Middle Atlantic,Liberal
Too Little,58,Female,38.900002,W. Nor. Central,Moderate
About Right,32,Female,63.200001,Pacific,Conservative
Too Little,38,Female,83.900002,Pacific,Slightly Liberal
About Right,34,Male,31.299999,Mountain,Moderate
Too Little,43,Female,74.400002,W. Nor. Central,Slightly Liberal
About Right,52,Male,64.099998,South Atlantic,Moderate
Too Little,31,Female,80.300003,Pacific,Extremely Liberal
Too Much,55,Male,26.700001,Pacific,Conservative
About Right,29,Male,33.099998,Pacific,Moderate
About Right,53,Female,57.099998,E. Nor. Central,Moderate
About Right,43,Female,66.099998,South Atlantic,Slightly Conservative
About Right,43,Male,34.200001,Pacific,Liberal
About Right,51,Female,26.700001,E. Nor. Central,Slightly Liberal
About Right,54,Female,22.5,Mountain,Moderate
Too Little,42,Male,74.599998,W. Nor. Central,Slightly Conservative
About Right,28,Female,38.400002,E. Nor. Central,Moderate
Too Little,37,Male,37.799999,Pacific,Moderate
About Right,42,Female,28.200001,E. Sou. Central,Moderate
About Right,68,Female,33.099998,W. Sou. Central,Conservative
About Right,33,Female,68.800003,Middle Atlantic,Slightly Conservative
About Right,33,Female,38.400002,Pacific,Slightly Liberal
About Right,61,Female,78.5,South Atlantic,Conservative
Too Little,89,Male,38.200001,Pacific,Moderate
About Right,25,Male,63.5,New England,Conservative
Too Little,49,Female,33.099998,Middle Atlantic,Slightly Liberal
About Right,21,Male,38.200001,Mountain,Moderate
About Right,44,Female,78.5,Pacific,Liberal
Too Much,62,Female,27.700001,E. Nor. Central,Moderate
About Right,67,Female,80.300003,South Atlantic,Moderate
About Right,23,Male,80.900002,Pacific,Liberal
Too Little,39,Female,26.4,Pacific,Extremely Liberal
Too Little,38,Female,36.900002,E. Nor. Central,Conservative
About Right,77,Male,47,E. Nor. Central,Liberal
About Right,44,Male,22.9,W. Nor. Central,Conservative
Too Little,51,Male,62,Pacific,Moderate
About Right,44,Female,29.299999,W. Nor. Central,Moderate
About Right,67,Female,25.799999,South Atlantic,Slightly Conservative
About Right,43,Male,36.700001,South Atlantic,Conservative
About Right,79,Female,53.299999,Mountain,Moderate
About Right,34,Male,20.1,Pacific,Conservative
About Right,27,Male,32.299999,South Atlantic,Moderate
About Right,37,Female,69.199997,W. Sou. Central,Moderate
About Right,46,Female,62.5,Middle Atlantic,Moderate
Too Little,53,Female,56.599998,Middle Atlantic,Slightly Conservative
About Right,39,Male,30,E. Nor. Central,Moderate
Too Much,32,Female,64.800003,South Atlantic,Liberal
Too Little,54,Male,84.699997,Middle Atlantic,Conservative
Too Little,80,Female,37.700001,Middle Atlantic,Liberal
Too Little,38,Female,48.799999,E. Sou. Central,Conservative
About Right,44,Female,64.400002,Middle Atlantic,Moderate
Too Little,31,Male,27.700001,South Atlantic,Conservative
About Right,33,Female,36.900002,W. Sou. Central,Conservative
About Right,27,Female,62.5,New England,Liberal
About Right,35,Male,37.799999,Mountain,Moderate
About Right,30,Female,38.400002,Pacific,Slightly Liberal
Too Little,33,Female,82.699997,South Atlantic,Moderate
Too Much,24,Female,53.299999,E. Nor. Central,Conservative
About Right,26,Male,78.5,South Atlantic,Slightly Liberal
About Right,42,Male,73.300003,South Atlantic,Slightly Conservative
About Right,54,Male,31.4,Pacific,Moderate
Too Little,74,Female,26.4,E. Sou. Central,Moderate
Too Little,41,Male,63.5,E. Nor. Central,Moderate
About Right,71,Male,33.099998,E. Nor. Central,Conservative
About Right,28,Male,41.599998,Pacific,Liberal
Too Little,36,Male,31.299999,Middle Atlantic,Moderate
About Right,75,Male,63.5,E. Nor. Central,Conservative
About Right,40,Male,27.700001,Pacific,Moderate
About Right,76,Male,37.299999,W. Sou. Central,Conservative
About Right,30,Female,54.700001,Pacific,Liberal
About Right,19,Male,44.700001,South Atlantic,Moderate
Too Little,30,Male,50.700001,Pacific,Slightly Conservative
Too Little,34,Male,74.400002,South Atlantic,Moderate
About Right,25,Female,78.5,South Atlantic,Moderate
Too Little,42,Male,69.199997,South Atlantic,Moderate
Too Little,32,Female,38.400002,Middle Atlantic,Slightly Conservative
Too Little,32,Male,32,Pacific,Slightly Liberal
About Right,20,Female,33.599998,W. Sou. Central,Liberal
About Right,42,Female,78.5,South Atlantic,Moderate
About Right,32,Female,39.400002,South Atlantic,Moderate
Too Little,56,Male,29.799999,Mountain,Conservative
About Right,87,Female,22.5,Middle Atlantic,Liberal
Too Little,62,Female,78,Pacific,Liberal
Too Little,37,Male,63.5,Pacific,Conservative
About Right,22,Female,40.200001,E. Sou. Central,Moderate
About Right,50,Female,73.199997,E. Nor. Central,Moderate
Too Little,45,Male,85.5,New England,Liberal
Too Little,44,Male,36.400002,Middle Atlantic,Moderate
About Right,49,Female,37.400002,Pacific,Liberal
About Right,65,Female,39,Mountain,Slightly Liberal
About Right,34,Female,38.400002,E. Nor. Central,Conservative
Too Little,49,Female,85.099998,W. Sou. Central,Conservative
Too Little,54,Female,62.5,New England,Extremely Liberal
Too Little,48,Female,64.199997,W. Sou. Central,Moderate
About Right,61,Female,63.5,Pacific,Conservative
About Right,36,Male,48.900002,E. Nor. Central,Slightly Conservative
About Right,61,Female,64.800003,South Atlantic,Liberal
About Right,61,Female,67,W. Sou. Central,Conservative
Too Little,60,Male,63.5,South Atlantic,Moderate
About Right,31,Female,32.400002,Mountain,Moderate
About Right,71,Female,51.900002,Middle Atlantic,Liberal
About Right,20,Male,36.5,Middle Atlantic,Moderate
Too Little,33,Male,26.700001,E. Nor. Central,Conservative
About Right,19,Male,26.5,South Atlantic,Moderate
Too Little,48,Female,30.799999,New England,Conservative
About Right,36,Female,53.700001,E. Sou. Central,Liberal
Too Little,41,Male,47.799999,Pacific,Liberal
Too Little,28,Female,27.700001,E. Sou. Central,Slightly Liberal
Too Little,27,Female,80.099998,Middle Atlantic,Liberal
About Right,63,Male,80.300003,W. Nor. Central,Slightly Conservative
Too Little,53,Male,32.900002,E. Nor. Central,Moderate
Too Little,28,Female,76.400002,Pacific,Slightly Liberal
About Right,22,Female,29.299999,E. Nor. Central,Moderate
Too Little,45,Female,50.700001,South Atlantic,Conservative
About Right,40,Female,56.599998,E. Nor. Central,Moderate
Too Little,71,Female,29.299999,South Atlantic,Conservative
Too Little,53,Female,40.099998,Middle Atlantic,Slightly Conservative
Too Little,35,Female,38,Middle Atlantic,Moderate
About Right,33,Female,25.200001,E. Nor. Central,Moderate
Too Little,48,Female,33.099998,South Atlantic,Slightly Liberal
Too Little,49,Male,49.700001,Pacific,Extremely Liberal
About Right,37,Male,38.099998,E. Nor. Central,Slightly Liberal
Too Little,31,Female,38.900002,Pacific,Liberal
About Right,55,Male,80.300003,Pacific,Liberal
About Right,51,Female,33.099998,South Atlantic,Moderate
About Right,42,Male,64.199997,Middle Atlantic,Slightly Conservative
About Right,54,Male,74.400002,South Atlantic,Moderate
Too Little,41,Female,73.900002,E. Nor. Central,Liberal
About Right,48,Male,25.5,South Atlantic,Extremely Conservative
Too Little,24,Male,38.900002,South Atlantic,Extremely Liberal
Too Much,61,Male,29.200001,W. Nor. Central,Slightly Conservative
Too Little,42,Female,48.5,Pacific,Slightly Conservative
About Right,25,Male,29.200001,South Atlantic,Conservative
About Right,38,Male,48.5,E. Sou. Central,Moderate
About Right,39,Male,40.5,New England,Moderate
About Right,49,Male,50.700001,South Atlantic,Slightly Conservative
About Right,82,Female,29,E. Nor. Central,Slightly Liberal
Too Little,42,Male,38.200001,South Atlantic,Extremely Conservative
Too Little,49,Male,92.300003,Pacific,Liberal
About Right,48,Female,97.199997,Middle Atlantic,Moderate
About Right,68,Male,37.799999,W. Sou. Central,Moderate
Too Much,74,Female,36.5,W. Nor. Central,Liberal
Too Much,59,Male,37.599998,E. Sou. Central,Moderate
About Right,55,Female,41.299999,E. Sou. Central,Conservative
Too Little,29,Female,69.199997,South Atlantic,Liberal
Too Little,48,Male,59.099998,Middle Atlantic,Moderate
Too Little,49,Female,69.199997,Pacific,Moderate
Too Little,36,Male,74.400002,Middle Atlantic,Moderate
About Right,61,Male,50.700001,New England,Conservative
Too Little,60,Male,64.099998,Middle Atlantic,Moderate
About Right,39,Female,33.099998,W. Sou. Central,Slightly Conservative
Too Little,52,Female,51.900002,South Atlantic,Conservative
Too Little,34,Male,63.5,E. Sou. Central,Liberal
About Right,63,Male,31.5,South Atlantic,Slightly Conservative
Too Little,79,Male,45.900002,E. Nor. Central,Extremely Conservative
Too Little,60,Male,33.099998,Middle Atlantic,Slightly Liberal
About Right,48,Male,80.900002,W. Nor. Central,Conservative
Too Little,31,Male,51.900002,E. Sou. Central,Slightly Conservative
Too Little,75,Male,34.200001,E. Sou. Central,Moderate
Too Little,54,Male,44.700001,Pacific,Moderate
About Right,73,Male,38.900002,South Atlantic,Slightly Conservative
About Right,32,Male,37.599998,Pacific,Conservative
About Right,74,Female,39.400002,E. Nor. Central,Slightly Conservative
About Right,33,Male,37.299999,W. Sou. Central,Conservative
Too Little,37,Male,86.5,Pacific,Slightly Liberal
Too Little,33,Male,26.700001,E. Nor. Central,Moderate
About Right,39,Male,83.699997,South Atlantic,Slightly Conservative
About Right,62,Female,80.300003,E. Nor. Central,Conservative
Too Little,38,Female,64.800003,Mountain,Slightly Conservative
About Right,29,Female,62.200001,W. Nor. Central,Moderate
Too Little,42,Male,63.5,Middle Atlantic,Moderate
Too Much,82,Male,69.699997,Pacific,Slightly Liberal
Too Little,64,Female,38.400002,Pacific,Moderate
Too Little,43,Female,80.300003,South Atlantic,Extremely Liberal
Too Little,44,Male,60.5,South Atlantic,Moderate
Too Much,44,Female,51.900002,South Atlantic,Conservative
About Right,55,Female,65.800003,E. Sou. Central,Slightly Liberal
Too Little,42,Male,52.400002,W. Sou. Central,Slightly Conservative
About Right,43,Female,53.099998,South Atlantic,Conservative
About Right,74,Female,37.900002,E. Nor. Central,Moderate
About Right,38,Male,81,E. Nor. Central,Moderate
About Right,57,Male,34.200001,W. Nor. Central,Extremely Conservative
About Right,52,Female,26.700001,South Atlantic,Extremely Conservative
Too Little,30,Male,37.299999,South Atlantic,Slightly Conservative
Too Much,24,Female,37.700001,Middle Atlantic,Slightly Conservative
About Right,60,Female,38.400002,Middle Atlantic,Liberal
Too Little,36,Male,82.699997,New England,Moderate
Too Much,31,Female,73.599998,W. Nor. Central,Moderate
About Right,85,Female,26.700001,South Atlantic,Moderate
About Right,38,Female,21.200001,E. Nor. Central,Moderate
About Right,39,Female,60.5,Mountain,Slightly Liberal
Too Little,34,Male,78.5,W. Nor. Central,Slightly Liberal
Too Little,70,Male,37.299999,Mountain,Conservative
Too Little,57,Female,39.5,E. Nor. Central,Moderate
About Right,49,Male,39,W. Sou. Central,Extremely Conservative
Too Little,23,Female,29.299999,Mountain,Moderate
Too Little,42,Female,73.199997,South Atlantic,Slightly Liberal
About Right,25,Female,63.5,E. Nor. Central,Moderate
Too Much,72,Male,33.200001,E. Sou. Central,Conservative
About Right,75,Male,32.700001,E. Nor. Central,Moderate
About Right,60,Female,29.799999,South Atlantic,Slightly Liberal
Too Much,44,Female,53.299999,New England,Moderate
Too Little,70,Female,32.400002,Pacific,Slightly Liberal
About Right,62,Male,28.4,E. Nor. Central,Moderate
Too Much,28,Female,38.400002,E. Nor. Central,Slightly Conservative
Too Little,66,Female,29.299999,E. Nor. Central,Moderate
About Right,31,Female,38,W. Sou. Central,Conservative
Too Little,35,Female,38.900002,South Atlantic,Moderate
Too Little,62,Male,85.5,E. Nor. Central,Liberal
Too Little,62,Female,50.700001,South Atlantic,Conservative
Too Much,44,Male,53.900002,Mountain,Slightly Liberal
About Right,32,Female,73.800003,South Atlantic,Slightly Liberal
Too Little,36,Female,31.9,Mountain,Extremely Liberal
About Right,48,Female,29.299999,Pacific,Moderate
Too Little,20,Female,63.5,South Atlantic,Moderate
About Right,43,Female,25.299999,New England,Moderate
Too Little,45,Male,35.099998,Middle Atlantic,Conservative
Too Little,34,Male,78.5,Pacific,Liberal
Too Little,32,Male,50.5,Mountain,Liberal
About Right,33,Female,36.5,Mountain,Moderate
About Right,38,Female,33.099998,E. Nor. Central,Moderate
About Right,27,Female,32.400002,Middle Atlantic,Extremely Conservative
Too Little,34,Female,78.5,Mountain,Conservative
Too Little,60,Female,66.099998,Middle Atlantic,Extremely Liberal
Too Little,68,Male,36.5,Middle Atlantic,Slightly Conservative
Too Little,19,Female,33.099998,Middle Atlantic,Moderate
About Right,50,Male,83.699997,South Atlantic,Moderate
About Right,33,Female,42.299999,New England,Extremely Liberal
About Right,21,Male,29.5,Pacific,Moderate
About Right,67,Female,38.900002,Pacific,Conservative
About Right,25,Female,73.199997,New England,Slightly Conservative
Too Little,34,Male,34.200001,Middle Atlantic,Liberal
About Right,71,Female,26.4,South Atlantic,Slightly Liberal
Too Little,26,Female,38.400002,E. Nor. Central,Conservative
Too Little,44,Female,29.299999,W. Nor. Central,Moderate
Too Little,43,Male,86.599998,Pacific,Conservative
Too Little,40,Male,60.5,Pacific,Conservative
About Right,43,Female,63.5,New England,Moderate
Too Little,44,Male,24.200001,South Atlantic,Liberal
Too Much,48,Female,50.700001,Middle Atlantic,Moderate
About Right,32,Female,74.400002,Middle Atlantic,Slightly Liberal
About Right,40,Female,53.299999,Middle Atlantic,Moderate
About Right,35,Female,56.599998,South Atlantic,Moderate
About Right,39,Female,30.799999,Mountain,Liberal
About Right,31,Male,48.5,W. Sou. Central,Moderate
Too Little,70,Female,28.4,Middle Atlantic,Moderate
Too Little,50,Female,38,Pacific,Slightly Conservative
About Right,71,Male,38.099998,Pacific,Moderate
Too Much,67,Male,49.599998,Pacific,Slightly Conservative
Too Little,36,Female,36.5,E. Nor. Central,Slightly Liberal
About Right,66,Male,80.300003,South Atlantic,Slightly Conservative
Too Little,64,Female,57.099998,E. Nor. Central,Moderate
Too Little,66,Female,22.9,Pacific,Moderate
About Right,70,Male,31.5,W. Nor. Central,Slightly Conservative
About Right,78,Female,34.599998,Middle Atlantic,Moderate
About Right,61,Male,29.4,W. Nor. Central,Slightly Conservative
About Right,42,Female,38,W. Sou. Central,Slightly Liberal
Too Much,47,Male,34.200001,South Atlantic,Moderate
About Right,56,Male,32.299999,E. Nor. Central,Slightly Liberal
About Right,26,Male,38.200001,Pacific,Liberal
Too Little,32,Female,33.099998,Pacific,Moderate
About Right,35,Female,32.400002,E. Nor. Central,Slightly Conservative
Too Little,42,Male,50.700001,Mountain,Slightly Liberal
Too Much,76,Male,17.1,E. Nor. Central,Moderate
About Right,30,Male,28.4,Middle Atlantic,Moderate
About Right,40,Female,29.5,E. Nor. Central,Slightly Liberal
About Right,68,Male,64.099998,W. Sou. Central,Slightly Liberal
About Right,33,Female,32,South Atlantic,Slightly Liberal
Too Little,66,Female,60.599998,New England,Slightly Liberal
Too Little,46,Female,38.400002,W. Sou. Central,Extremely Conservative
About Right,47,Male,32.799999,New England,Slightly Conservative
About Right,27,Male,37.5,South Atlantic,Moderate
Too Much,32,Male,28.6,E. Nor. Central,Moderate
About Right,82,Female,73.199997,South Atlantic,Slightly Liberal
About Right,35,Female,32.400002,W. Sou. Central,Slightly Conservative
Too Little,37,Male,83.699997,Pacific,Moderate
Too Little,72,Male,81.900002,W. Sou. Central,Moderate
Too Little,51,Male,63.5,Pacific,Slightly Liberal
About Right,27,Female,33.299999,Middle Atlantic,Conservative
About Right,31,Female,33.099998,South Atlantic,Moderate
Too Little,55,Female,26.4,Middle Atlantic,Slightly Conservative
